ac_year,statcd,statname,area_sqkm,tot_population,urban_population,grwoth_rate,sexratio,sc_population,st_population,literacy_rate,male_literacy_rate,female_literacy_rate,distcd,blkcd,villages,clusters,schools,sch_1,sch_2,sch_3,sch_4,sch_5,sch_6,sch_7,sch_r_1,sch_r_2,sch_r_3,sch_r_4,sch_r_5,sch_r_6,sch_r_7,sch_u_1,sch_u_2,sch_u_3,sch_u_4,sch_u_5,sch_u_6,sch_u_7,enr_1,enr_2,enr_3,enr_4,enr_5,enr_6,enr_7,enr_all,enr_r_1,enr_r_2,enr_r_3,enr_r_4,enr_r_5,enr_r_6,enr_r_7,enr_r_all,enr_u_1,enr_u_2,enr_u_3,enr_u_4,enr_u_5,enr_u_6,enr_u_7,enr_u_all,tch_1,tch_2,tch_3,tch_4,tch_5,tch_6,tch_7,tch_all,tch_r_1,tch_r_2,tch_r_3,tch_r_4,tch_r_5,tch_r_6,tch_r_7,tch_r_all,tch_u_1,tch_u_2,tch_u_3,tch_u_4,tch_u_5,tch_u_6,tch_u_7,tch_u_all,sing_cls_sch_1,sing_cls_sch_2,sing_cls_sch_3,sing_cls_sch_4,sing_cls_sch_5,sing_cls_sch_6,sing_cls_sch_7,sing_cls_sch_all,sing_tch_sch_1,sing_tch_sch_2,sing_tch_sch_3,sing_tch_sch_4,sing_tch_sch_5,sing_tch_sch_6,sing_tch_sch_7,sing_tch_sch_all,bldg_1,bldg_2,bldg_3,bldg_4,bldg_5,bldg_6,bldg_7,bldg_all,girls_toilet_1,girls_toilet_2,girls_toilet_3,girls_toilet_4,girls_toilet_5,girls_toilet_6,girls_toilet_7,girls_toilet_all,boys_toilet_1,boys_toilet_2,boys_toilet_3,boys_toilet_4,boys_toilet_5,boys_toilet_6,boys_toilet_7,boys_toilet_all,gsch_1,gsch_2,gsch_3,gsch_4,gsch_5,gsch_6,gsch_7,gsch_all,bsch_1,bsch_2,bsch_3,bsch_4,bsch_5,bsch_6,bsch_7,bsch_all,co_sch1,co_sch2,co_sch3,co_sch4,co_sch5,co_sch6,co_sch7,co_sch_all,cwsn_toilet_1,cwsn_toilet_2,cwsn_toilet_3,cwsn_toilet_4,cwsn_toilet_5,cwsn_toilet_6,cwsn_toilet_7,cwsn_toilet_all,water_1,water_2,water_3,water_4,water_5,water_6,water_7,water_all,electric_1,electric_2,electric_3,electric_4,electric_5,electric_6,electric_7,electric_all,rampneed_1,rampneed_2,rampneed_3,rampneed_4,rampneed_5,rampneed_6,rampneed_7,rampneed_all,ramps_1,ramps_2,ramps_3,ramps_4,ramps_5,ramps_6,ramps_7,ramps_all,library_1,library_2,library_3,library_4,library_5,library_6,library_7,library_all,librarian_1,librarian_2,librarian_3,librarian_4,librarian_5,librarian_6,librarian_7,librarian_all,bndrywall_1,bndrywall_2,bndrywall_3,bndrywall_4,bndrywall_5,bndrywall_6,bndrywall_7,bndrywall_all,cwsn_sch_1,cwsn_sch_2,cwsn_sch_3,cwsn_sch_4,cwsn_sch_5,cwsn_sch_6,cwsn_sch_7,cwsn_sch_all,lab_asst_1,lab_asst_2,lab_asst_3,lab_asst_4,lab_asst_5,lab_asst_6,lab_asst_7,lab_asst_all,hmroom_1,hmroom_2,hmroom_3,hmroom_4,hmroom_5,hmroom_6,hmroom_7,hmroom_all,hostel_boys_1,hostel_boys_2,hostel_boys_3,hostel_boys_4,hostel_boys_5,hostel_boys_6,hostel_boys_7,hostel_boys_all,hostel_girls_1,hostel_girls_2,hostel_girls_3,hostel_girls_4,hostel_girls_5,hostel_girls_6,hostel_girls_7,hostel_girls_all,internet_1,internet_2,internet_3,internet_4,internet_5,internet_6,internet_7,internet_all,ict_lab_1,ict_lab_2,ict_lab_3,ict_lab_4,ict_lab_5,ict_lab_6,ict_lab_7,ict_lab_all,pground_1,pground_2,pground_3,pground_4,pground_5,pground_6,pground_7,pground_all,medchk_1,medchk_2,medchk_3,medchk_4,medchk_5,medchk_6,medchk_7,medchk_all,smdc_1,smdc_2,smdc_3,smdc_4,smdc_5,smdc_6,smdc_7,smdc_all,sch_bld_com_1,sch_bld_com_2,sch_bld_com_3,sch_bld_com_4,sch_bld_com_5,sch_bld_com_6,sch_bld_com_7,sch_bld_com_all,pta_1,pta_2,pta_3,pta_4,pta_5,pta_6,pta_7,pta_all,sch_2006_1,sch_2006_2,sch_2006_3,sch_2006_4,sch_2006_5,sch_2006_6,sch_2006_7,sch_2006_all,cls_1,cls_2,cls_3,cls_4,cls_5,cls_6,cls_7,cls_all,tchf_1,tchf_2,tchf_3,tchf_4,tchf_5,tchf_6,tchf_7,tchf_all,enrg_1,enrg_2,enrg_3,enrg_4,enrg_5,enrg_6,enrg_7,enrg_all,enrc8_b,enrc8_g,enrc9_b,enrc9_g,enrc10_b,enrc10_g,enrc11_b,enrc11_g,enrc12_b,enrc12_g,repc8_b,repc8_g,repc9_b,repc9_g,repc10_b,repc10_g,repc11_b,repc11_g,repc12_b,repc12_g,cwsnc8_b,cwsnc8_g,cwsnc9_b,cwsnc9_g,cwsnc10_b,cwsnc10_g,cwsnc11_b,cwsnc11_g,cwsnc12_b,cwsnc12_g,schlabphy,schlabchem,schlabbio,schlabcomputer,schlabmath,schlablang,schlabgeo,schlabpsyc,schlabhsci,scsec,scsec_g,schsec,schsec_g,stsec,stsec_g,sthsec,sthsec_g,obcsec,obcsec_g,obchsec,obchsec_g,muslim_sec,muslim_sec_g,muslim_hsec,muslim_hsec_g,clgood_sec,clmajor_sec,clminor_sec,clgood_hsec,clmajor_hsec,clminor_hsec,boys_b13_c8,girls_b13_c8,boys_b13_c9,girls_b13_c9,boys_b13_c10,girls_b13_c10,boys_13_c8,girls_13_c8,boys_13_c9,girls_13_c9,boys_13_c10,girls_13_c10,boys_14_c8,girls_14_c8,boys_14_c9,girls_14_c9,boys_14_c10,girls_14_c10,boys_15_c8,girls_15_c8,boys_15_c9,girls_15_c9,boys_15_c10,girls_15_c10,boys_a15_c8,girls_a15_c8,boys_a15_c9,girls_a15_c9,boys_a15_c10,girls_a15_c10,boys_b15_c11,girls_b15_c11,boys_b15_c12,girls_b15_c12,boys_15_c11,girls_15_c11,boys_15_c12,girls_15_c12,boys_16_c11,girls_16_c11,boys_16_c12,girls_16_c12,boys_17_c11,girls_17_c11,boys_17_c12,girls_17_c12,boys_a17_c11,girls_a17_c11,boys_a17_c12,girls_a17_c12,apr_b_gen_py10,apr_g_gen_py10,apr_b_sc_py10,apr_g_sc_py10,apr_b_st_py10,apr_g_st_py10,apr_b_obc_py10,apr_g_obc_py10,pass_b_gen_py10,pass_g_gen_py10,pass_b_sc_py10,pass_g_sc_py10,pass_b_st_py10,pass_g_st_py10,pass_b_obc_py10,pass_g_obc_py10,arts_c11_b,sci_c11_b,com_c11_b,voc_c11_b,oth_c11_b,arts_c11_g,sci_c11_g,com_c11_g,voc_c11_g,oth_c11_g,arts_c12_b,sci_c12_b,com_c12_b,voc_c12_b,oth_c12_b,arts_c12_g,sci_c12_g,com_c12_g,voc_c12_g,oth_c12_g,apr_arts_gen_b,apr_arts_gen_g,apr_arts_sc_b,apr_arts_sc_g,apr_arts_st_b,apr_arts_st_g,apr_arts_obc_b,apr_arts_obc_g,pass_arts_gen_b,pass_arts_gen_g,pass_arts_sc_b,pass_arts_sc_g,pass_arts_st_b,pass_arts_st_g,pass_arts_obc_b,pass_arts_obc_g,apr_sci_gen_b,apr_sci_gen_g,apr_sci_sc_b,apr_sci_sc_g,apr_sci_st_b,apr_sci_st_g,apr_sci_obc_b,apr_sci_obc_g,pass_sci_gen_b,pass_sci_gen_g,pass_sci_sc_b,pass_sci_sc_g,pass_sci_st_b,pass_sci_st_g,pass_sci_obc_b,pass_sci_obc_g,apr_com_gen_b,apr_com_gen_g,apr_com_sc_b,apr_com_sc_g,apr_com_st_b,apr_com_st_g,apr_com_obc_b,apr_com_obc_g,pass_com_gen_b,pass_com_gen_g,pass_com_sc_b,pass_com_sc_g,pass_com_st_b,pass_com_st_g,pass_com_obc_b,pass_com_obc_g,apr_voc_gen_b,apr_voc_gen_g,apr_voc_sc_b,apr_voc_sc_g,apr_voc_st_b,apr_voc_st_g,apr_voc_obc_b,apr_voc_obc_g,pass_voc_gen_b,pass_voc_gen_g,pass_voc_sc_b,pass_voc_sc_g,pass_voc_st_b,pass_voc_st_g,pass_voc_obc_b,pass_voc_obc_g,apr_oth_gen_b,apr_oth_gen_g,apr_oth_sc_b,apr_oth_sc_g,apr_oth_st_b,apr_oth_st_g,apr_oth_obc_b,apr_oth_obc_g,pass_oth_gen_b,pass_oth_gen_g,pass_oth_sc_b,pass_oth_sc_g,pass_oth_st_b,pass_oth_st_g,pass_oth_obc_b,pass_oth_obc_g,tchug_r_m,tchgrad_r_m,tchpg_r_m,tchphd_r_m,tchpd_r_m,tchnr_r_m,tchug_r_f,tchgrad_r_f,tchpg_r_f,tchphd_r_f,tchpd_r_f,tchnr_r_f,tchug_r_nr,tchgrad_r_nr,tchpg_r_nr,tchphd_r_nr,tchpd_r_nr,tchnr_r_nr,tchug_p_m,tchgrad_p_m,tchpg_p_m,tchphd_p_m,tchpd_p_m,tchnr_p_m,tchug_p_f,tchgrad_p_f,tchpg_p_f,tchphd_p_f,tchpd_p_f,tchnr_p_f,tchug_p_nr,tchgrad_p_nr,tchpg_p_nr,tchphd_p_nr,tchpd_p_nr,tchnr_p_nr,tchbtt_m,tchbed_m,tchmed_m,tchoth_m,tchse_m,tchnr_m,tchbtt_f,tchbed_f,tchmed_f,tchoth_f,tchse_f,tchnr_f,tchbtt_nr,tchbed_nr,tchmed_nr,tchoth_nr,tchse_nr,tchnr_nr,enrc7_py,enrc8_py,enrc9_py,enrc10_py,enr11_py,enr12_py
2015-16,01,Jammu And Kashmir,222236,12548.93,20.05,23.71,883,7.4,11.9,68.74,78.26,58.01,22,201,7263,1628,4202,486,95,2693,414,34,478,2,264,90,2012,376,30,346,0,222,5,681,38,4,132,2,116698,27584,165991,38229,3669,231066,1729,584967,56114,25939,123808,35258,3265,141880,0,386265,60584,1645,42183,2971,404,89186,1729,198702,4864,1418,11828,2656,384,10073,48,31275,2351,1239,8303,2363,335,6366,0,20961,2513,179,3525,293,49,3707,48,10314,0,0,67,0,0,0,0,67,,,,,,,,,486,95,2692,414,34,478,2,4201,479,92,2662,390,31,429,0,4083,471,91,2574,372,30,400,2,3940,9,2,54,36,4,75,0,180,6,3,13,23,1,49,2,97,471,90,2626,355,29,354,0,3925,50,7,152,28,1,26,0,264,484,92,2641,401,33,470,1,4122,473,90,2156,299,20,442,1,3481,102,41,846,237,21,262,0,1509,68,38,590,186,16,206,0,1104,474,88,2366,329,25,456,2,3740,135,30,320,45,2,171,2,705,435,63,1806,262,25,414,2,3007,1,0,15,6,0,2,0,24,261,58,556,117,14,394,2,1402,446,66,1964,264,26,392,2,3160,9,13,21,2,0,14,0,59,7,11,19,2,0,7,0,46,271,20,442,6,0,84,0,823,166,27,303,5,2,192,1,696,452,75,2080,240,20,366,2,3235,339,58,1680,262,24,249,0,2612,327,89,2124,413,33,474,2,3462,321,88,2014,409,34,474,2,3342,346,90,2200,412,34,475,2,3559,19,4,47,2,0,5,0,77,3746,645,7284,1413,200,4927,28,18287,2740,441,5343,756,100,3586,7,12977,51114,12349,78696,19275,1846,107441,0,270721,103534,93203,96707,84336,83649,73657,66291,55257,67599,57471,820,514,1783,1258,3173,2722,1171,619,3195,2280,1373,1046,776,568,530,413,194,228,199,240,533,535,505,506,97,52,52,18,25,30578,14060,18189,8801,38332,17028,21946,9605,24909,11813,14125,6128,208525,99751,148947,67428,10406,793,1897,3961,330,841,44488,38516,9375,7821,0,0,45708,42575,34462,29470,0,0,9321,8460,36215,32542,35019,30169,2672,2429,11366,10166,34051,31005,1345,1223,5289,4337,14579,12483,4850,4349,0,0,23490,18115,8306,5861,19224,16918,22035,19795,10931,9781,17790,16112,7796,6094,19468,15703,48639,40684,6185,5672,6517,4978,3963,3396,34677,27496,3353,3170,3114,2450,2530,2080,35530,25410,4632,72,138,33299,18415,2955,108,99,35722,26404,4677,78,161,34747,18795,2659,123,105,22721,21970,2033,2384,2655,1781,1769,1806,10765,10704,848,1098,905,813,698,881,18961,12123,1320,809,1296,738,1210,594,13739,9282,813,579,704,453,780,390,3261,1814,143,55,112,55,192,60,2421,1524,97,47,81,44,134,45,3,3,1,4,1,0,0,0,3,3,1,4,1,0,0,0,0,99,0,0,0,0,0,3,0,90,0,0,0,0,0,3,75,5544,11973,626,14,0,33,4811,7732,366,6,0,0,0,0,0,0,0,0,4,55,7,0,0,0,8,21,0,0,0,0,0,0,0,0,0,102,13098,1441,59,43,3555,150,8394,1451,44,32,2906,0,0,0,0,0,0,199954,203537,192567,146066,138963,116187
2015-16,02,Himachal Pradesh,55673,6856.51,8.69,12.81,974,25.2,5.7,83.78,90.83,76.6,12,124,10120,2243,3782,565,1634,684,884,2,4,9,418,1543,565,869,2,1,6,147,91,119,15,0,3,3,84525,336705,22783,36192,27,879,1383,482494,48611,297232,17724,35510,27,43,996,400143,35914,39473,5059,682,0,836,387,82351,5061,20160,2327,2836,14,53,93,30545,3250,18193,1838,2769,14,4,65,26134,1811,1967,489,67,0,49,28,4411,0,13,4,96,0,0,0,113,,,,,,,,,565,1634,684,884,2,4,9,3782,563,1613,681,884,2,4,9,3756,562,1594,684,874,2,4,8,3728,3,40,0,10,0,0,1,54,2,21,3,0,0,0,0,26,560,1573,681,874,2,4,8,3702,115,572,103,275,1,2,1,1069,565,1634,684,884,2,4,9,3782,564,1631,683,876,2,4,9,3769,156,1194,194,670,1,0,5,2220,77,1132,71,628,0,0,5,1913,560,1627,669,877,2,4,9,3748,303,243,205,26,1,2,5,785,486,1230,511,635,1,2,8,2873,1,8,3,4,0,0,0,16,369,997,301,198,0,3,5,1873,560,1305,668,650,2,4,9,3198,30,31,12,3,0,0,1,77,22,27,12,1,0,0,2,64,450,972,386,164,0,3,5,1980,223,1209,175,327,1,2,3,1940,550,1558,667,803,2,2,8,3590,499,1588,592,850,2,3,6,3540,363,1084,430,470,1,3,6,2357,59,905,41,241,1,0,2,1249,125,282,149,67,1,0,4,628,64,52,127,80,1,0,3,327,3818,10080,1687,1523,6,35,62,17259,3295,7352,1590,1026,7,29,44,13343,34515,163267,9104,17730,13,320,560,225509,64179,57629,67976,58574,69592,59755,62304,54804,57113,52376,210,195,4424,2690,5850,4296,2626,1559,1580,1052,798,548,735,494,542,396,247,231,209,188,521,527,518,799,151,53,89,10,31,71204,34014,54482,26452,15053,7100,13796,6490,39252,17849,36766,17172,3775,1657,2240,1062,7583,544,774,6921,402,976,31659,28738,6304,5740,0,0,24231,22033,26952,24092,0,0,6457,5377,23279,20068,29416,25798,1391,1174,8100,6205,25522,22617,441,307,3341,2469,14654,11340,5603,5315,0,0,21280,19941,5086,4582,20603,17623,18189,18205,9766,8054,18948,17140,5052,3871,14890,12449,36463,30818,18337,17077,4031,3715,11631,9975,29003,25226,12440,11846,3049,2824,8289,7060,31697,19815,10693,101,0,31504,15930,7280,87,0,28211,18843,9947,112,0,30872,14613,6804,86,0,10773,12887,6378,7283,1544,1844,3745,4610,8487,10864,4869,5882,1253,1612,2769,3529,11425,8530,2867,2296,897,659,2847,2067,9555,7463,2347,1946,738,561,2287,1763,5419,3727,2070,1395,439,317,1896,1213,4439,3305,1651,1190,361,261,1453,1021,127,105,56,24,40,26,33,14,99,72,51,28,23,12,18,11,23,22,7,6,0,6,1,1,23,22,17,16,0,6,1,1,668,3678,11223,1133,2,0,451,3162,8647,760,12,0,0,0,0,0,0,0,56,165,264,13,0,0,16,94,197,4,0,0,0,0,0,0,0,0,645,12408,1031,1839,528,751,457,10232,790,1001,345,518,0,0,0,0,0,0,122101,122413,130258,135253,119932,98924
2015-16,03,Punjab,50362,27704.24,29.82,13.73,893,31.9,0,76.68,81.48,71.34,22,146,13195,1782,9171,2593,1754,2743,1869,6,63,143,1323,1390,1353,1722,4,38,57,1270,364,1390,147,2,25,86,613610,602297,134929,174839,238,19673,33374,1578960,243248,389398,60338,156559,187,12751,8533,871014,370362,212899,74591,18280,51,6922,24841,707946,30788,25738,10644,11276,19,900,1714,81117,13533,17954,5184,10002,13,588,573,47858,17255,7784,5460,1274,6,312,1141,33259,0,10,34,88,0,0,0,132,2,1,0,8,1,0,0,12,2593,1754,2743,1869,6,63,143,9171,2588,1654,2739,1841,5,62,142,9031,2566,1548,2733,1783,5,29,102,8766,18,201,4,82,1,33,39,378,4,95,3,28,1,1,1,133,2571,1458,2736,1759,4,29,103,8660,523,1000,495,1016,1,8,41,3084,2593,1754,2742,1869,6,63,143,9170,2592,1754,2742,1869,6,63,143,9169,482,487,515,490,1,13,36,2024,363,454,359,462,1,10,25,1674,2563,1749,2637,1862,5,61,135,9012,815,413,487,52,1,34,93,1895,2568,1742,2700,1830,6,63,141,9050,15,0,13,1,0,1,0,30,924,1052,317,379,0,24,77,2773,2544,1547,2675,1608,6,63,143,8586,53,25,9,4,0,1,12,104,41,37,4,5,0,5,23,115,2236,1722,1832,1784,3,51,114,7742,856,1714,468,1763,1,15,40,4857,2540,1741,2604,1847,6,59,138,8935,1810,1575,1667,1661,3,30,55,6801,486,1691,367,1801,1,15,19,4380,405,1637,292,1722,1,10,19,4086,652,1615,473,1725,1,14,28,4508,328,34,451,52,2,18,67,952,19950,13779,6652,5235,14,668,1203,47643,23706,14631,8715,6436,15,769,1329,55630,244197,280501,56000,79657,111,14733,16968,692167,264932,209017,260047,195256,243796,188343,198694,159196,184256,149372,315,144,8720,3367,7656,3268,1682,720,3365,1539,4937,5468,1988,2024,1389,1614,722,895,767,886,1558,1584,1473,2120,1080,458,257,73,266,324542,148174,211991,101332,192,80,131,57,137839,61713,108976,50738,14383,7379,8210,4051,26739,608,738,18536,251,463,53314,52126,13853,14775,0,0,187948,142209,60513,54601,0,0,308,209,96678,71318,43263,43634,17367,10528,57596,36406,98072,79039,5995,3945,31407,18156,102461,65670,10560,12337,0,0,45243,45089,8078,7184,75253,59133,36733,36381,44201,29230,69815,60066,23437,13407,69630,45741,124933,87770,77552,68847,49,51,34373,29354,111932,82868,56085,55003,38,75,28029,25681,117516,43492,28146,9434,164,95702,36654,22273,4246,243,112712,38918,24380,7963,309,93019,32125,20431,3494,224,58405,42015,39210,39653,61,86,18983,18123,50465,39256,31330,34681,78,35,15772,16248,29347,23699,4911,4218,12,26,4599,3911,26510,22321,4389,3971,12,12,4159,3626,17725,14131,2774,2855,8,5,2328,2415,16212,13605,2534,2700,4,2,2088,2265,3225,1129,4096,2304,0,0,1786,856,3100,1102,3897,2225,0,0,1749,748,79,47,37,19,0,0,11,5,41,42,35,16,0,0,9,5,1368,7061,15892,1086,6,0,1989,15842,35676,1948,9,0,0,0,0,0,0,0,7,24,38,5,0,0,5,52,104,5,0,0,0,0,0,0,0,0,704,17423,2301,2897,1297,865,1250,40770,4434,4365,1534,3277,0,0,0,0,0,0,481982,473349,451412,426034,351639,342835
2015-16,04,Chandigarh,114,1054.69,76.66,17.1,818,18.9,0,86.43,90.54,81.38,1,20,84,20,160,85,5,70,0,0,0,0,9,0,5,0,0,0,0,76,5,65,0,0,0,0,61622,4018,14520,0,0,0,0,80160,4691,0,1475,0,0,0,0,6166,56931,4018,13045,0,0,0,0,73994,2688,206,1057,0,0,0,0,3951,236,0,93,0,0,0,0,329,2452,206,964,0,0,0,0,3622,0,0,1,0,0,0,0,1,,,,,,,,,85,5,70,0,0,0,0,160,84,5,70,0,0,0,0,159,82,5,70,0,0,0,0,157,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,81,5,70,0,0,0,0,156,37,0,34,0,0,0,0,71,85,5,70,0,0,0,0,160,85,5,70,0,0,0,0,160,47,2,41,0,0,0,0,90,44,2,34,0,0,0,0,80,85,5,70,0,0,0,0,160,57,4,16,0,0,0,0,77,85,5,70,0,0,0,0,160,1,0,0,0,0,0,0,1,63,5,22,0,0,0,0,90,85,5,69,0,0,0,0,159,6,1,0,0,0,0,0,7,6,1,0,0,0,0,0,7,85,5,66,0,0,0,0,156,50,4,17,0,0,0,0,71,83,5,67,0,0,0,0,155,85,5,69,0,0,0,0,159,41,3,41,0,0,0,0,85,26,1,15,0,0,0,0,42,25,2,18,0,0,0,0,45,4,0,9,0,0,0,0,13,1374,85,346,0,0,0,0,1805,2114,159,803,0,0,0,0,3076,26752,1589,6397,0,0,0,0,34738,11807,9488,12842,9737,9742,7931,12242,9029,10596,8041,18,5,1100,463,45,11,373,121,282,111,434,274,399,261,223,188,59,31,116,97,65,64,60,68,50,28,21,8,28,5617,2511,5163,2360,75,28,173,89,1077,498,811,374,1828,865,1066,511,909,8,31,805,2,50,2971,2552,35,41,0,0,5384,4454,2812,2476,0,0,2320,1603,5525,4335,2445,2105,772,592,2858,1924,4481,3789,360,287,1612,961,2816,2037,52,167,0,0,2730,2264,304,178,5539,4328,2513,1940,2675,1659,4558,3716,1246,611,3221,2207,7761,6241,1140,1142,23,14,190,248,7449,6066,1073,1086,23,14,188,242,4454,3586,2184,898,0,3716,2143,1852,810,0,3860,2721,2038,715,0,3298,1706,1768,609,0,3050,2534,652,614,15,21,47,61,1948,1885,319,409,13,16,27,44,3177,1686,281,158,21,25,74,50,2789,1513,219,144,19,24,67,49,2022,1749,138,143,8,10,29,20,1794,1540,116,128,7,10,28,22,571,467,146,142,0,0,5,6,455,395,101,104,0,0,4,5,2,0,0,3,0,0,2,0,2,0,0,3,0,0,2,0,17,153,612,90,0,0,29,402,2342,291,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,8,1,0,0,0,0,0,0,0,0,13,581,146,87,34,14,30,2220,564,155,71,36,0,0,0,0,0,0,21344,21321,21545,16708,20948,17943
2015-16,05,Uttarakhand,53483,10116.75,21.54,19.17,963,18.8,2.9,79.63,88.33,70.7,13,95,11989,995,3512,487,1600,164,895,235,116,15,274,1399,105,855,216,90,9,213,199,59,40,19,26,6,179781,410036,13810,52078,14002,25536,2051,697294,91695,326759,8848,48429,12111,19265,1104,508211,88086,81877,4962,3649,1891,6271,947,187683,4114,22750,589,5393,1251,1034,130,35391,2309,19819,354,5186,1159,841,69,29824,1805,2900,235,207,92,193,61,5536,0,8,2,25,8,3,0,46,2,1,1,2,14,3,0,23,487,1598,164,893,218,115,15,3490,484,1485,161,868,215,108,14,3335,461,1449,159,818,204,105,9,3205,24,138,4,62,16,9,6,259,3,85,3,13,1,2,1,108,460,1377,157,820,218,105,8,3145,104,114,21,24,14,11,1,289,487,1569,164,865,207,110,15,3417,483,1545,162,772,151,96,15,3224,81,282,24,196,43,21,6,653,59,218,17,155,29,11,3,492,473,1480,156,810,176,97,6,3198,273,66,41,23,24,15,3,445,480,1009,159,652,116,82,13,2511,10,8,1,3,4,2,0,28,0,47,0,4,19,13,0,83,474,1031,156,514,86,79,10,2350,40,53,6,16,4,9,0,128,36,27,5,3,3,5,1,80,413,629,82,119,21,24,5,1293,250,162,39,23,7,17,3,501,465,926,144,415,75,50,7,2082,353,1227,84,740,134,65,7,2610,131,1341,39,738,199,77,8,2533,67,1369,17,742,181,75,8,2459,108,1435,26,770,183,79,9,2610,38,30,27,85,142,19,5,346,4542,9810,534,1785,526,674,67,18270,2555,5719,366,1633,344,296,77,11078,81494,201414,5830,27831,7413,12147,1371,337500,101600,93642,101104,90991,102346,94172,78127,75976,78217,76361,647,442,5789,3865,10552,7746,2089,1249,6140,5523,484,435,344,277,317,299,163,154,174,133,773,766,727,906,297,133,217,54,157,94724,46172,62266,31890,12812,6470,11232,5844,78342,38175,56560,28029,29053,14744,16602,8995,8056,767,1296,6138,635,986,39701,35059,6794,6935,0,0,39113,35774,34717,30713,0,0,16021,15782,35781,31546,35511,30520,5303,5285,15705,13987,36599,33793,1462,1742,8107,7810,30236,29859,4517,5319,0,0,28276,26065,8618,7617,24681,23825,25665,24350,12574,12237,23195,22998,8079,8530,20739,21396,52894,47801,22862,21758,3138,3476,17572,16130,42296,40423,14330,15444,2136,2495,11979,12363,33480,31569,6658,47,410,47936,18930,4019,13,184,33058,32482,5984,50,372,48290,19100,3786,16,130,15457,24894,7811,11045,1397,2171,5233,9036,11663,20404,5524,8496,831,1431,3487,6801,24761,13578,6263,2649,1398,703,7530,3320,19919,11579,4476,2079,945,571,5114,2640,5774,3686,767,353,155,86,1221,570,4069,3007,556,285,113,102,793,456,82,18,9,3,0,0,26,6,41,14,6,2,0,0,32,4,232,85,83,23,9,0,125,72,323,60,69,17,10,0,132,55,352,2019,20286,496,28,14,160,1118,8705,245,15,12,0,0,0,0,0,0,16,115,983,2,1,1,10,56,752,4,1,0,0,0,0,0,0,0,797,20539,776,893,336,972,405,9245,408,363,131,526,0,0,0,0,0,0,193393,193890,197590,200769,150799,162100
